case,model,metric,mare,mare_lower,mare_upper,mean_are,sd_are,n_obs
C0,ASAP,fishing_mortality,2.81,2.68,2.95,3.54,3.18,3000
C0,BAM,fishing_mortality,2.82,2.68,2.95,3.54,3.18,3000
C0,SS3,fishing_mortality,2.8,2.68,2.92,3.49,3.14,3000
C0,WHAM_fixed_effects,fishing_mortality,2.82,2.68,2.95,3.54,3.18,3000
C0,WHAM_random_effects,fishing_mortality,2.83,2.7,2.96,3.53,3.17,3000
C0,WHAM_random_effects_sigmaR_constant,fishing_mortality,2.81,2.7,2.96,3.52,3.15,3000
C0,FIMS_fixed_effects,fishing_mortality,2.68,2.56,2.85,3.41,3.05,3000
C0,FIMS_random_effects,fishing_mortality,2.77,2.65,2.92,3.48,3.08,3000
C0,FIMS_random_effects_sigmaR_constant,fishing_mortality,2.71,2.58,2.85,3.39,3.01,3000
C0,ASAP,recruitment,3.87,3.73,4.05,4.95,4.35,3000
C0,BAM,recruitment,3.88,3.73,4.05,4.95,4.34,3000
C0,SS3,recruitment,3.85,3.72,4.07,4.96,4.35,3000
C0,WHAM_fixed_effects,recruitment,3.87,3.72,4.05,4.96,4.35,3000
C0,WHAM_random_effects,recruitment,3.89,3.73,4.03,4.98,4.42,3000
C0,WHAM_random_effects_sigmaR_constant,recruitment,3.88,3.73,4.04,4.96,4.36,3000
C0,FIMS_fixed_effects,recruitment,3.89,3.75,4.06,5.01,4.39,3000
C0,FIMS_random_effects,recruitment,3.86,3.74,4.06,5.03,4.53,3000
C0,FIMS_random_effects_sigmaR_constant,recruitment,3.9,3.74,4.08,5.01,4.39,3000
C0,ASAP,spawning_biomass,2.22,2.13,2.32,2.72,2.48,3000
C0,BAM,spawning_biomass,2.23,2.13,2.33,2.73,2.49,3000
C0,SS3,spawning_biomass,2.19,2.09,2.3,2.7,2.49,3000
C0,WHAM_fixed_effects,spawning_biomass,2.23,2.13,2.33,2.73,2.49,3000
C0,WHAM_random_effects,spawning_biomass,2.23,2.12,2.34,2.74,2.51,3000
C0,WHAM_random_effects_sigmaR_constant,spawning_biomass,2.22,2.1,2.32,2.73,2.5,3000
C0,FIMS_fixed_effects,spawning_biomass,2.09,1.99,2.18,2.6,2.27,3000
C0,FIMS_random_effects,spawning_biomass,2.17,2.09,2.28,2.68,2.44,3000
C0,FIMS_random_effects_sigmaR_constant,spawning_biomass,2.09,2,2.19,2.59,2.27,3000
