case,model,metric,mre,mre_lower,mre_upper,sd_mre,n_sims
C0,ASAP,fishing_mortality,-0.25,-1.06,0.5,3.03,100
C0,BAM,fishing_mortality,-0.25,-1.05,0.46,3.03,100
C0,SS,fishing_mortality,-0.36,-1.03,0.36,2.97,100
C0,WHAM_fixed_effects,fishing_mortality,-0.53,-1.2,0.41,4.02,100
C0,WHAM_random_effects,fishing_mortality,-0.41,-1.25,0.27,3.03,100
C0,FIMS_fixed_effects,fishing_mortality,-0.21,-1.07,0.61,3.06,100
C0,FIMS_random_effects,fishing_mortality,-0.36,-1.26,0.37,3.05,100
C0,ASAP,recruitment,0.46,0.03,0.86,1.73,100
C0,BAM,recruitment,0.46,0.03,0.85,1.73,100
C0,SS,recruitment,0.51,0.05,0.85,1.71,100
C0,WHAM_fixed_effects,recruitment,0.56,0.01,0.89,1.99,100
C0,WHAM_random_effects,recruitment,0.51,0.07,0.93,1.74,100
C0,FIMS_fixed_effects,recruitment,0.44,-0,0.81,1.72,100
C0,FIMS_random_effects,recruitment,0.52,-0.01,0.83,1.74,100
C0,ASAP,spawning_biomass,0.41,0.14,0.84,2.15,100
C0,BAM,spawning_biomass,0.41,0.12,0.85,2.15,100
C0,SS,spawning_biomass,0.48,0.22,0.9,2.11,100
C0,WHAM_fixed_effects,spawning_biomass,0.64,0.12,0.87,3.13,100
C0,WHAM_random_effects,spawning_biomass,0.57,0.27,1.01,2.16,100
C0,FIMS_fixed_effects,spawning_biomass,0.4,0.07,0.89,2.18,100
C0,FIMS_random_effects,spawning_biomass,0.56,0.19,0.96,2.17,100
