case,simulation,ASAP,BAM,SS3,WHAM_fixed_effects,WHAM_random_effects,WHAM_random_effects_sigmaR_constant,FIMS_fixed_effects,FIMS_random_effects,FIMS_random_effects_sigmaR_constant
C0,1,-1.45,-1.45,-1.44,-1.46,-1.34,-1.37,-1.42,-1.25,-1.34
C0,2,-0.66,-0.66,-0.58,-0.65,-0.5,-0.55,-0.08,-0.39,0.01
C0,3,0.56,0.58,0.59,0.58,0.73,0.68,0.45,0.8,0.54
C0,4,0.7,0.71,0.74,0.71,0.7,0.81,0.56,0.31,0.65
C0,6,-1.22,-1.25,-1.18,-1.24,-1.12,-1.14,-1.87,-1.55,-1.78
C0,7,-0.07,-0.07,-0.07,-0.06,0.09,0.04,0.3,0.05,0.39
C0,8,4.38,4.39,4.53,4.39,4.53,4.5,4.16,4.42,4.26
C0,9,-2.53,-2.54,-2.43,-2.54,-2.45,-2.46,-2.9,-2.18,-2.83
C0,10,0.33,0.33,0.33,0.33,0.47,0.43,0.17,0.46,0.25
C0,14,0.23,0.25,0.24,0.24,0.45,0.32,-0.29,0.44,-0.21
C0,16,2.65,2.64,2.68,2.64,2.84,2.74,3.47,3.12,3.56
C0,17,-0.38,-0.39,-0.37,-0.39,-0.34,-0.3,-1.21,-0.51,-1.13
C0,21,1.39,1.38,1.38,1.38,1.56,1.48,0.65,1.59,0.74
C0,23,0.45,0.44,0.42,0.44,0.52,0.53,0.57,0.54,0.65
C0,25,-2.75,-2.74,-2.71,-2.75,-2.57,-2.66,-3.27,-2.51,-3.19
C0,27,0.56,0.57,0.58,0.57,0.66,0.67,0.31,0.65,0.4
C0,30,-2.13,-2.13,-2.1,-2.12,-1.85,-2.03,-1.42,-1.82,-1.33
C0,32,0.5,0.49,0.48,0.49,0.59,0.59,0.77,0.76,0.86
C0,34,-2.12,-2.12,-1.97,-2.12,-2.04,-2.03,-2.28,-2.18,-2.21
C0,37,1.34,1.34,1.36,1.33,1.29,1.42,0.21,1.07,0.29
C0,39,-2.09,-2.1,-2,-2.09,-1.99,-2.01,-2.52,-2.04,-2.44
C0,40,-0.32,-0.32,-0.24,-0.32,-0.36,-0.24,-1.33,-0.59,-1.25
C0,41,-0.13,-0.14,-0.14,-0.14,-0.06,-0.05,-0.08,0.02,-0
C0,42,1.36,1.35,1.34,1.36,1.49,1.46,1.17,1.49,1.25
C0,44,-0.92,-0.91,-0.84,-0.91,-0.83,-0.81,-0.17,-1.03,-0.08
C0,45,-0.02,-0.02,0.05,-0.02,0.1,0.08,-0.25,-0.02,-0.16
C0,46,-0.59,-0.59,-0.62,-0.59,-0.5,-0.49,-0.7,-0.67,-0.61
C0,49,0.53,0.54,0.52,0.54,0.71,0.63,0.06,0.51,0.14
C0,60,-0.49,-0.49,-0.48,-0.49,-0.32,-0.41,-0.86,-0.34,-0.78
C0,61,1.66,1.65,1.72,1.65,1.82,1.76,1.14,1.71,1.23
C0,64,-0.97,-0.98,-0.98,-0.98,-0.99,-0.89,-1.5,-1.18,-1.42
C0,65,0.81,0.81,0.85,0.81,0.9,0.91,0.7,0.77,0.79
C0,66,-0.46,-0.46,-0.41,-0.46,-0.34,-0.36,-0.42,-0.02,-0.33
C0,67,0.21,0.22,0.23,0.23,0.34,0.32,-0.02,0.32,0.07
C0,68,-1.25,-1.25,-1.14,-1.25,-1.15,-1.15,-1.46,-1.36,-1.37
C0,70,-1.7,-1.7,-1.69,-1.7,-1.64,-1.6,-1.33,-1.74,-1.24
C0,72,0.61,0.61,0.63,0.61,0.63,0.71,1.05,0.66,1.14
C0,74,-0.85,-0.86,-0.8,-0.86,-0.73,-0.77,-0.87,-0.75,-0.79
C0,76,-0.09,-0.1,-0.07,-0.1,0.01,-0,-0.35,-0.08,-0.26
C0,77,2.36,2.36,2.41,2.36,2.45,2.46,1.86,1.99,1.95
C0,78,1.42,1.41,1.48,1.41,1.51,1.51,1.84,1.82,1.93
C0,81,0.61,0.63,0.89,0.63,0.91,0.73,1.06,0.71,1.15
C0,82,-1.29,-1.29,-1.29,-1.29,-1.18,-1.2,-1.48,-1.19,-1.4
C0,83,-1.37,-1.36,-1.33,-1.36,-1.24,-1.27,-0.84,-1.05,-0.75
C0,88,-1.28,-1.29,-1.23,-1.29,-1.2,-1.19,-1.18,-1.2,-1.09
C0,90,-1.37,-1.39,-1.39,-1.39,-1.31,-1.3,-1.33,-1.36,-1.25
C0,94,0.93,0.93,0.95,0.93,1.26,1.03,0.71,1.47,0.8
C0,96,0.98,0.98,1.06,0.98,1.02,1.08,1.71,1.2,1.8
C0,97,-1.13,-1.12,-1.08,-1.12,-1.05,-1.03,-1.12,-1.23,-1.03
C0,99,-0,0,0.07,-0.01,0.2,0.08,-0.18,0.33,-0.1
C0,106,2.66,2.67,2.65,2.67,2.77,2.77,2.61,2.73,2.7
C0,107,2.53,2.53,2.53,2.53,2.6,2.63,2.71,3.07,2.8
C0,109,0.37,0.37,0.44,0.37,0.41,0.47,0.87,0.7,0.97
C0,112,-2.7,-2.72,-2.66,-2.71,-2.65,-2.62,-2.51,-2.69,-2.43
C0,115,1.59,1.6,1.58,1.59,1.79,1.69,0.79,2.02,0.87
C0,116,0.52,0.51,0.59,0.51,0.68,0.62,0.46,0.84,0.55
C0,118,0.74,0.74,0.78,0.74,0.87,0.84,0.32,0.83,0.41
C0,119,0.07,0.07,0.08,0.07,0.21,0.17,0.74,0.14,0.83
C0,120,-1.43,-1.42,-1.34,-1.42,-1.26,-1.33,-0.53,-1.05,-0.44
C0,123,-0.05,-0.05,-0.02,-0.05,-0.02,0.05,-0.47,-0.03,-0.39
C0,124,-0.62,-0.64,-0.55,-0.64,-0.57,-0.54,-0.23,-0.64,-0.13
C0,125,-0.3,-0.3,-0.28,-0.3,-0.14,-0.2,0.63,0.25,0.71
C0,126,-0.42,-0.42,-0.3,-0.42,-0.32,-0.32,-0.83,-0.72,-0.74
C0,130,-1.08,-1.08,-1.02,-1.08,-0.78,-0.98,0.44,-1.01,0.52
C0,132,0.2,0.2,0.21,0.19,-0.06,0.28,-0.77,-0.09,-0.69
C0,135,-1.03,-1.04,-1,-1.04,-0.94,-0.95,-1.09,-0.97,-1
C0,137,-3.75,-3.76,-3.69,-3.75,-3.65,-3.66,-3.05,-3.46,-2.96
C0,138,-1.47,-1.48,-1.46,-1.48,-1.61,-1.39,-1.27,-1.57,-1.19
C0,142,-1.36,-1.36,-1.27,-1.37,-1.12,-1.29,-1.94,-1.12,-1.86
C0,143,1.21,1.2,1.26,1.2,1.56,1.29,0.4,1.54,0.48
C0,144,1.29,1.29,1.5,1.29,1.28,1.4,0.78,1.2,0.87
C0,147,0.31,0.3,0.46,0.3,0.07,0.4,1.07,0.07,1.16
C0,149,1.1,1.13,1.21,1.13,1.17,1.23,1.15,1.17,1.24
C0,150,2.11,2.12,2.15,2.12,2.11,2.21,1.8,2.06,1.89
C0,153,2.98,2.98,2.97,2.97,2.89,3.07,2.68,3.08,2.77
C0,161,-0.74,-0.74,-0.69,-0.74,-0.58,-0.64,-0.07,-0.82,0.01
