case,simulation,ASAP,BAM,SS3,WHAM_fixed_effects,WHAM_random_effects,WHAM_random_effects_sigmaR_constant,FIMS_fixed_effects,FIMS_random_effects,FIMS_random_effects_sigmaR_constant
C0,1,-1.86,-1.85,-1.86,-1.85,-1.72,-1.71,-1.74,-1.63,-1.59
C0,2,-1.74,-1.74,-1.44,-1.75,-1.56,-1.58,-1.38,-1.42,-1.22
C0,3,2.04,2.09,2.13,2.09,2.3,2.26,2,2.34,2.17
C0,4,-0.46,-0.43,-0.28,-0.43,-0.33,-0.27,-0.46,-0.5,-0.3
C0,6,-2.59,-2.63,-2.35,-2.67,-2.51,-2.5,-2.95,-2.76,-2.78
C0,7,-0.04,-0.04,0.01,-0.04,0.15,0.12,0.13,0.13,0.3
C0,8,5.7,5.73,5.92,5.74,5.98,5.92,5.52,5.94,5.7
C0,9,-3.27,-3.29,-3.08,-3.28,-3.13,-3.13,-3.57,-3.01,-3.42
C0,10,1.56,1.57,1.62,1.56,1.75,1.72,1.38,1.68,1.53
C0,14,-0.36,-0.32,-0.31,-0.33,-0.13,-0.19,-0.57,-0.11,-0.43
C0,16,2.45,2.43,2.47,2.44,2.68,2.61,2.99,2.86,3.15
C0,17,-2.26,-2.27,-2.23,-2.26,-2.14,-2.11,-2.74,-2.24,-2.59
C0,21,2.24,2.22,2.24,2.22,2.45,2.39,1.71,2.45,1.88
C0,23,0.97,0.96,0.49,0.98,1.11,1.13,1.15,1.11,1.3
C0,25,-3.86,-3.84,-3.66,-3.86,-3.66,-3.71,-4.22,-3.71,-4.08
C0,27,1.32,1.33,1.37,1.32,1.48,1.49,1.1,1.49,1.26
C0,30,-1.9,-1.89,-1.97,-1.87,-1.66,-1.71,-1.65,-1.67,-1.5
C0,32,-0.37,-0.39,-0.39,-0.4,-0.22,-0.23,-0.42,-0.1,-0.26
C0,34,-4.89,-4.88,-4.65,-4.88,-4.74,-4.75,-4.87,-4.77,-4.74
C0,37,0.04,0.04,-0.14,0.04,0.11,0.19,-0.57,0.05,-0.42
C0,39,-3.1,-3.1,-2.79,-3.12,-2.97,-2.98,-3.31,-2.94,-3.17
C0,40,-0.95,-0.97,-1.27,-0.95,-0.86,-0.8,-1.45,-0.97,-1.3
C0,41,0.41,0.41,0.4,0.41,0.56,0.56,0.48,0.54,0.63
C0,42,0.93,0.92,1.06,0.9,1.09,1.06,0.83,1.15,0.99
C0,44,0.36,0.38,0.45,0.39,0.55,0.55,0.61,0.45,0.77
C0,45,-0.38,-0.39,-0.25,-0.37,-0.18,-0.2,-0.51,-0.25,-0.34
C0,46,-2.32,-2.31,-2.17,-2.34,-2.19,-2.18,-2.4,-2.35,-2.25
C0,49,-0.36,-0.33,-0.23,-0.36,-0.19,-0.2,-0.59,-0.34,-0.44
C0,60,-0.25,-0.25,-0.23,-0.24,-0.07,-0.09,-0.37,-0.08,-0.23
C0,61,1.94,1.93,2.1,1.92,2.16,2.1,1.55,2.17,1.73
