case,metric,model,mean_re,median_re,median_lower,median_upper,sd_re,min_re,max_re,q25,q75,n_sims
C0,spawning_biomass,ASAP,-0.24,-0.03,-0.7,0.52,2.42,-5.68,5.7,-2.26,1.62,100
C0,spawning_biomass,BAM,-0.24,-0.04,-0.7,0.51,2.43,-5.7,5.73,-2.26,1.63,100
C0,spawning_biomass,SS3,-0.17,-0.06,-0.65,0.53,2.39,-5.6,5.92,-2.06,1.71,100
C0,spawning_biomass,WHAM_fixed_effects,-0.24,-0.04,-0.68,0.52,2.43,-5.72,5.74,-2.26,1.62,100
C0,spawning_biomass,WHAM_random_effects,-0.08,0.12,-0.61,0.69,2.43,-5.56,5.98,-2.09,1.85,100
C0,spawning_biomass,WHAM_random_effects_sigmaR_constant,-0.08,0.12,-0.53,0.69,2.43,-5.56,5.92,-2.11,1.77,100
C0,spawning_biomass,FIMS_fixed_effects,-0.29,-0.3,-0.88,0.48,2.44,-5.78,5.79,-2.16,1.56,100
C0,spawning_biomass,FIMS_random_effects,-0.09,-0.01,-0.64,0.62,2.46,-5.65,6.12,-2.05,1.82,100
C0,spawning_biomass,FIMS_random_effects_sigmaR_constant,-0.13,-0.16,-0.73,0.63,2.45,-5.63,5.96,-2,1.73,100
C0,abundance,ASAP,-0.1,-0.06,-0.49,0.33,1.47,-3.75,4.38,-1.25,0.75,100
C0,abundance,BAM,-0.1,-0.06,-0.49,0.33,1.47,-3.76,4.39,-1.26,0.75,100
C0,abundance,SS3,-0.04,-0.02,-0.48,0.42,1.46,-3.69,4.53,-1.19,0.84,100
C0,abundance,WHAM_fixed_effects,-0.1,-0.06,-0.49,0.33,1.47,-3.75,4.39,-1.25,0.75,100
C0,abundance,WHAM_random_effects,0,0.01,-0.36,0.45,1.47,-3.65,4.53,-1.16,0.9,100
C0,abundance,WHAM_random_effects_sigmaR_constant,0,0.04,-0.41,0.43,1.47,-3.66,4.5,-1.15,0.85,100
C0,abundance,FIMS_fixed_effects,-0.14,-0.08,-0.42,0.3,1.43,-3.27,4.16,-1.16,0.74,100
C0,abundance,FIMS_random_effects,-0.01,0.01,-0.51,0.44,1.49,-3.46,4.42,-1.18,0.83,100
C0,abundance,FIMS_random_effects_sigmaR_constant,-0.05,0,-0.34,0.39,1.43,-3.19,4.26,-1.08,0.82,100
